"","Date","Open","High","Low","Close","Volume","OI"
"187",2024-06-28 06:51:00,24381.9,24381.9,24367.9,24367.9,450,38000
"188",2024-06-28 06:52:00,24369,24375.45,24369,24375,875,38000
"189",2024-06-28 06:53:00,24375,24375,24362.05,24364.1,475,38000
"190",2024-06-28 06:54:00,24364.15,24382.3,24364.15,24374.1,200,38400
"191",2024-06-28 06:55:00,24388,24388,24369,24369,700,38400
"192",2024-06-28 06:56:00,24376.75,24380,24376.75,24380,50,38400
"193",2024-06-28 06:57:00,24386.75,24395.35,24386.75,24395.35,150,38675
"194",2024-06-28 06:58:00,24395.35,24396.2,24387.25,24391.95,225,38675
"195",2024-06-28 06:59:00,24384,24384.35,24380,24384.35,225,38675
"196",2024-06-28 07:00:00,24378,24378,24375,24375,75,38700
"197",2024-06-28 07:01:00,24375.15,24377.1,24375.15,24376.2,100,38700
"198",2024-06-28 07:02:00,24376.05,24380,24376.05,24380,275,38700
"199",2024-06-28 07:03:00,24380,24380,24376,24376,100,38900
"200",2024-06-28 07:04:00,24370,24370,24365,24365,275,38900
"201",2024-06-28 07:05:00,24365,24379.15,24362.65,24379.15,875,38900
"202",2024-06-28 07:06:00,24373.1,24373.1,24373.1,24373.1,25,39375
"203",2024-06-28 07:07:00,24362,24362,24360,24360.05,200,39375
"204",2024-06-28 07:08:00,24360.1,24374.2,24360.1,24374.2,75,39375
"205",2024-06-28 07:09:00,24370,24371.95,24363,24363,300,39525
"206",2024-06-28 07:10:00,24365,24365,24365,24365,75,39525
"207",2024-06-28 07:11:00,24365,24365,24365,24365,175,39525
"208",2024-06-28 07:12:00,24370,24376.5,24368.55,24370,225,39850
"209",2024-06-28 07:13:00,24365,24365,24360,24362,350,39850
"210",2024-06-28 07:14:00,24364.25,24369.7,24363.8,24369.7,425,39850
"211",2024-06-28 07:15:00,24375,24377,24375,24376.75,400,40100
"212",2024-06-28 07:16:00,24372,24379,24372,24379,450,40100
"213",2024-06-28 07:17:00,24372,24372,24360,24360,375,40100
"214",2024-06-28 07:18:00,24360,24360.1,24360,24360.1,150,40700
